variant,seed,gpu_id,epoch,lr,train_loss,train_nz_smooth_l1,train_nzcosloss,train_z_mse,train_z_l1,val_loss,val_nz_smooth_l1,val_nzcosloss,val_z_mse,val_z_l1
full_model,42,0,0,3.6e-05,1.3503864863168022,1.0410053178339895,0.07545348025834965,0.06890974897446618,0.20274468665510906,1.2688121553379093,1.1672074710714624,0.06851752394712203,0.004058799719919262,0.06328712862984663
full_model,42,0,1,5.2000000000000004e-05,1.262144733916959,1.1775171501742339,0.0641529920508669,0.0025893015924864605,0.04996178683176069,1.2503604620435533,1.1745470679681462,0.06029173381988165,0.0019726152960574143,0.04369491577142257
full_model,42,0,2,6.8e-05,1.2366890396450168,1.048419527222501,0.09895846640384517,0.028213928907078408,0.11057635105831229,1.1677387629935772,0.7621157503830155,0.20483042547585112,0.11691370510315806,0.18629410987768566
full_model,42,0,3,8.400000000000001e-05,1.114231602998098,0.7384779444944187,0.21660919226536757,0.10878309159845957,0.1586659732907854,1.070221281407632,0.702642696668181,0.22430741297461987,0.11111716287962285,0.14430771082676777
full_model,42,0,4,0.0001,1.0682292246226872,0.6958440667222072,0.21832427318927,0.11668716666634706,0.14653585920984702,1.049647527975148,0.6989948069935565,0.22421930203147075,0.10710668418755773,0.13143636807273998
full_model,42,0,5,9.997293623837585e-05,1.0477862076841005,0.6805644975138561,0.21580719966565093,0.11714617368413284,0.14217194003873004,1.0352298672987386,0.6575490537395817,0.21405668930609856,0.12500651643044816,0.1456459651333027
full_model,42,0,6,9.989177454732935e-05,1.0396740579055097,0.6727390006387705,0.21256365568977018,0.1191606305693255,0.14149259761553967,1.034477342317234,0.6763570873582081,0.21396899940264466,0.1141794622469769,0.1369562794970853
full_model,42,0,7,9.975660367597807e-05,1.0314351800687245,0.6657873889609093,0.20978866251395825,0.1196168638461122,0.14113660252040103,1.0180967507002414,0.6680179645737292,0.21131420288774197,0.11018495655675391,0.1342367160584807
full_model,42,0,8,9.956757143168527e-05,1.0236803650314348,0.6594100695563045,0.20795279705870282,0.11983998138060398,0.14045391233077378,1.0231358108061668,0.6583324983524416,0.21402936417351417,0.12084844084058693,0.13694018552914936
full_model,42,0,9,9.932488451843476e-05,1.019161818369999,0.6553632799914899,0.20744290309367336,0.12016947653921949,0.13990760808931035,1.0182494579484878,0.6283782017473263,0.19576492353080963,0.13529425419091387,0.15669454768924285
full_model,42,0,10,9.902880831080307e-05,1.0168257691317695,0.653809507194827,0.20542138029503182,0.12046397954475542,0.139841585856599,1.0086552979589152,0.6450742120962328,0.20700651577823342,0.12172422941877653,0.13835361226929613
full_model,42,0,11,9.86796665637763e-05,1.012432944603793,0.6500840515408721,0.20507979088836265,0.12029270747821676,0.13951629080719483,1.0134516145025037,0.6571851724759517,0.20489257517220913,0.1166504740047534,0.137169698890637
full_model,42,0,12,9.827784105872876e-05,1.0117015188201164,0.6504418144106073,0.20500517964404766,0.11967940860040868,0.13907770718239854,1.0059396337048734,0.6496802294021916,0.20656369289685364,0.11677864172902655,0.13619892285578183
full_model,42,0,13,9.782377118595071e-05,1.0086188655722936,0.6483009730923721,0.2044788119843772,0.11930496548750066,0.13877351924761405,1.0041840650490437,0.6439913177529789,0.2017116575061113,0.11954870307991881,0.13978820702672154
full_model,42,0,14,9.731795346418142e-05,1.0063750283862276,0.6452913408261085,0.2030315536671025,0.12073958420338893,0.13882833191645141,0.9997719673139334,0.6362757983419323,0.2015658489701561,0.12164137473199339,0.14107187884643038
full_model,42,0,15,9.676094099767333e-05,1.0091057023315404,0.6466774216318247,0.20274595273036883,0.12104207600998487,0.14001322858756923,1.007425532060162,0.6558004912871238,0.21206653362880945,0.11501591328156038,0.13057585184515288
full_model,42,0,16,9.615334287138057e-05,1.0059111824155647,0.6456583410824399,0.20331220966833782,0.11992206370828452,0.1386746773870622,1.0072653960608091,0.6571387313599905,0.20446733202691,0.11260933920351711,0.1352836459702053
full_model,42,0,17,9.549582348493357e-05,1.0035927856522646,0.6426817265185223,0.20163762471510038,0.12039967554718078,0.13969257017691958,1.0038293045321622,0.6572796882360815,0.214701803009424,0.112542120309501,0.12665659361968937
