variant,seed,gpu_id,epoch,lr,train_loss,train_nz_smooth_l1,train_nzcosloss,train_z_mse,train_z_l1,val_loss,val_nz_smooth_l1,val_nzcosloss,val_z_mse,val_z_l1
wo_query_self_attention,42,0,0,3.6e-05,1.3500504694548323,1.0437026779704142,0.08273728670502242,0.06505841475464495,0.19992073642774214,1.269342406910517,1.160752522604241,0.07600391875258722,0.00446349493494819,0.06612442066712974
wo_query_self_attention,42,0,1,5.2000000000000004e-05,1.2690789508302909,1.18133427650101,0.07099200109633813,0.0026051822408258377,0.04964348113269124,1.2606111466761003,1.1918100001949434,0.06336427226891314,0.001311054438285372,0.03580795457468444
wo_query_self_attention,42,0,2,6.8e-05,1.2590341101739424,1.1819067566763977,0.06294340814005783,0.002018849641375689,0.043636806646465465,1.2516534167273516,1.161212759411518,0.060876788909086196,0.0033757804050092897,0.05662646127323153
wo_query_self_attention,42,0,3,8.400000000000001e-05,1.22781989196096,1.0082836505292554,0.1055617371000472,0.03367536073066854,0.13308001216142923,1.1803895217756273,0.7127189995934982,0.18709262672770027,0.1426320188937223,0.23149217799312097
wo_query_self_attention,42,0,4,0.0001,1.1221970238080603,0.7448457630519807,0.21170343558132462,0.10533512954276911,0.16616441249034905,1.0870398494130296,0.7444666855466756,0.229304125426667,0.09149695318524445,0.13642415390722684
wo_query_self_attention,42,0,5,9.997293623837585e-05,1.076944678573915,0.7027755276759327,0.21703060652067177,0.11316706246948043,0.15248677768373106,1.0634898696386779,0.7198834256332775,0.21946998405931203,0.09790619415447753,0.13596526375453732
wo_query_self_attention,42,0,6,9.989177454732935e-05,1.0596404471459067,0.6876633945189752,0.21424894835389774,0.1155954889877615,0.14925708641792584,1.0517657285703756,0.6948196209599398,0.22185766805706555,0.10764968864023315,0.13836758032793428
wo_query_self_attention,42,0,7,9.975660367597807e-05,1.0443429458145495,0.6749152203866211,0.21318896199722717,0.11639522656938989,0.14643802102401263,1.0379612846079826,0.6508737198300799,0.20969316619206937,0.1283591352264103,0.15388186583747412
wo_query_self_attention,42,0,8,9.956757143168527e-05,1.0384412382041521,0.6716197487025443,0.21319893259803802,0.11637057071536706,0.14385145390650395,1.0293457501659449,0.6483322040810223,0.2114080826507372,0.1255331361308626,0.14977637370596383
wo_query_self_attention,42,0,9,9.932488451843476e-05,1.0313249113508889,0.6646163848803952,0.21049968957150994,0.11810238470057431,0.14335629385132675,1.0265383675651203,0.6595273547922116,0.20995365411401634,0.1182625668238476,0.1437716081410906
