variant,seed,gpu_id,epoch,lr,train_loss,train_nz_smooth_l1,train_nzcosloss,train_z_mse,train_z_l1,val_loss,val_nz_smooth_l1,val_nzcosloss,val_z_mse,val_z_l1
wo_query_cross_attention,42,0,0,3.6e-05,1.4397586953260815,0.9395896234698997,0.08366736170713071,0.13951480904237942,0.31882057789477464,1.272752901866,1.1408288842758565,0.07793542523939843,0.00753032738031539,0.08542597446820885
wo_query_cross_attention,42,0,1,5.2000000000000004e-05,1.2682074380479298,1.1799823551151312,0.0698486656335966,0.0027842909120539532,0.05051645622886548,1.2572394806732532,1.187377272478924,0.06385985841300171,0.001370621502978093,0.03656162636618009
wo_query_cross_attention,42,0,2,6.8e-05,1.2560003485474625,1.1803067900091984,0.0620404695639532,0.0019258686855835115,0.0427474498980552,1.2521589968225264,1.1636033707859603,0.061040308924445175,0.003186527773763402,0.05484894971038384
wo_query_cross_attention,42,0,3,8.400000000000001e-05,1.2224983664002296,0.9875903877083633,0.12139455695453952,0.04297940559068038,0.1312313060875499,1.1592469805259025,0.7628249310201157,0.192676078328845,0.11295583567298927,0.18712817203548626
wo_query_cross_attention,42,0,4,0.0001,1.1095228790195202,0.7340240026011995,0.21464207565313617,0.11030061052358887,0.15787722857337613,1.0746090600521225,0.6850706707981304,0.21714842035185988,0.12473223103447506,0.1562319295824637
wo_query_cross_attention,42,0,5,9.997293623837585e-05,1.0676641168814363,0.694652888875706,0.21441832579586398,0.11713003360935542,0.14867202938123833,1.056454119520136,0.6407295756199606,0.20787423033281166,0.14611939020989495,0.16566803233102365
wo_query_cross_attention,42,0,6,9.989177454732935e-05,1.0485464654907153,0.6779684133356328,0.21287184947439525,0.11912947117615647,0.1450126644136688,1.0345012529516358,0.6640264031452937,0.20858380249158717,0.12106028475154737,0.14512268114836568
wo_query_cross_attention,42,0,7,9.975660367597807e-05,1.0396783838152093,0.6716975194722029,0.2108149244959477,0.1194032096192996,0.1431701890772683,1.0337116690109203,0.6353393347863585,0.19351439234232418,0.13783665492123265,0.16377848313216697
wo_query_cross_attention,42,0,8,9.956757143168527e-05,1.028235773738553,0.6618435732012485,0.20900156038784973,0.11973944417051567,0.1421519794254943,1.023391285609131,0.6514752049853524,0.21402162073658296,0.12381537036281906,0.1410899071130254
wo_query_cross_attention,42,0,9,9.932488451843476e-05,1.0241231769167098,0.6596515597642114,0.2087165312265358,0.11921497877089554,0.14089837869807,1.0197399686303488,0.6544091186054709,0.2070917576885184,0.12027613767038386,0.14150884458567284
wo_query_cross_attention,42,0,10,9.902880831080307e-05,1.023428476052616,0.6581096692295267,0.2062559582186262,0.12022273819561564,0.1419680868983477,1.0245870292458679,0.6589959273690359,0.2137263602658655,0.12043525187869578,0.13829267253362998
wo_query_cross_attention,42,0,11,9.86796665637763e-05,1.0199751857276231,0.6552072004478572,0.20618054013450593,0.12006725544322833,0.14161046339952207,1.0204139198074198,0.6398634814167853,0.20847381946210888,0.12953127423716204,0.14678222508672262
