heldout_mse,global_corr_nonzero,meta_cell_corr_by_time_bin,pred_sparsity,sparsity_gap,true_sparsity,n_meta_bins,asw_cell_type_separation,asw_raw,ari,nmi,eval_n,variant,label,seed,gpu_id,best_epoch,best_val_loss,checkpoint,physical_gpu_id,worker_index
0.1906702518463134,0.5171147,0.75953823,0.819066249408446,0.0715699147234311,0.8906361641318771,119,0.7221690267324448,0.4443380534648895,0.7951741439452689,0.8743351631278373,808,full_model,Full model,42,0,36,0.9777496906297922,checkpoints/forecasting_ablation/full_model/seed_42/best_by_val_loss.pth,0,0
0.1899851411581039,0.5210666,0.76465005,0.8431308981413606,0.0475052659905165,0.8906361641318771,119,0.7080371528863907,0.4160743057727813,0.7665521913243196,0.8411062102388522,808,full_model,Full model,66,0,68,0.9695098935593612,checkpoints/forecasting_ablation/full_model/seed_66/best_by_val_loss.pth,1,1
0.1831888705492019,0.53231543,0.7721261,0.5738357985283065,0.3168003656035706,0.8906361641318771,119,0.7502102553844452,0.5004205107688904,1.0,1.0,808,full_model,Full model,88,0,39,0.9781361947856668,checkpoints/forecasting_ablation/full_model/seed_88/best_by_val_loss.pth,0,0
0.2265613079071045,0.533418,0.7825114,0.2800805209386918,0.6105556431931853,0.8906361641318771,119,0.7237085402011871,0.4474170804023742,0.9646603647655174,0.9628800165183904,808,plain_decoder,Plain decoder,42,0,57,0.9636770136768716,checkpoints/forecasting_ablation/plain_decoder/seed_42/best_by_val_loss.pth,1,1
0.2283336520195007,0.5310336,0.7754714,0.1090547199049801,0.7815814442268969,0.8906361641318771,119,0.7561890482902527,0.5123780965805054,0.9646603647655174,0.9628800165183904,808,plain_decoder,Plain decoder,66,0,28,0.9746700910946384,checkpoints/forecasting_ablation/plain_decoder/seed_66/best_by_val_loss.pth,0,0
0.2264797836542129,0.53411,0.77990615,0.3036087113866025,0.5870274527452746,0.8906361641318771,119,0.7340236008167267,0.4680472016334533,0.967550314394742,0.9651313898295616,808,plain_decoder,Plain decoder,88,0,54,0.9629128041330683,checkpoints/forecasting_ablation/plain_decoder/seed_88/best_by_val_loss.pth,1,1
0.1867107301950454,0.5262875,0.76413125,0.7512567622741656,0.1393794018577114,0.8906361641318771,119,0.7678783237934113,0.5357566475868225,0.9566438196076966,0.9452018035868154,808,wo_query_cross_attention,w/o query cross-attention,42,0,31,0.9907208347607332,checkpoints/forecasting_ablation/wo_query_cross_attention/seed_42/best_by_val_loss.pth,0,0
0.1875893622636795,0.5250777,0.76376575,0.7777114051611347,0.1129247589707423,0.8906361641318771,119,0.7687667906284332,0.5375335812568665,1.0,1.0,808,wo_query_cross_attention,w/o query cross-attention,66,0,40,0.9824613383181212,checkpoints/forecasting_ablation/wo_query_cross_attention/seed_66/best_by_val_loss.pth,1,1
0.1863773614168167,0.5243856,0.76734525,0.8446637189492145,0.0459724451826625,0.8906361641318771,119,0.7601215541362762,0.5202431082725525,0.7727965730671627,0.8672669280042464,808,wo_query_cross_attention,w/o query cross-attention,88,0,47,0.98528155342072,checkpoints/forecasting_ablation/wo_query_cross_attention/seed_88/best_by_val_loss.pth,0,0
0.1869046092033386,0.5193467,0.759382,0.5881624244898717,0.3024737396420054,0.8906361641318771,119,0.7728390991687775,0.5456781983375549,0.7371928495217016,0.8570645799086505,808,wo_query_self_attention,w/o query self-attention,42,0,26,0.9950019853928928,checkpoints/forecasting_ablation/wo_query_self_attention/seed_42/best_by_val_loss.pth,1,1
0.1873698830604553,0.52415365,0.7615986,0.6691009307116279,0.2215352334202491,0.8906361641318771,119,0.7492414563894272,0.4984829127788543,0.9626388732929484,0.957796088602762,808,wo_query_self_attention,w/o query self-attention,66,0,42,0.9849636066706534,checkpoints/forecasting_ablation/wo_query_self_attention/seed_66/best_by_val_loss.pth,0,0
0.1832994073629379,0.5269505,0.76866114,0.6512458591219946,0.2393903050098824,0.8906361641318771,119,0.7472430318593979,0.4944860637187958,0.6805546605660545,0.8262682110507651,808,wo_query_self_attention,w/o query self-attention,88,0,50,0.9845705380928264,checkpoints/forecasting_ablation/wo_query_self_attention/seed_88/best_by_val_loss.pth,1,1

