variant,seed,gpu_id,epoch,lr,train_loss,train_nz_smooth_l1,train_nzcosloss,train_z_mse,train_z_l1,val_loss,val_nz_smooth_l1,val_nzcosloss,val_z_mse,val_z_l1
plain_decoder,88,0,0,3.6e-05,1.7240575731571468,0.6445711271115343,0.07042598203527724,0.41051971667590403,0.6337537389458247,1.5371831157107612,0.6601365087240971,0.0732837871415444,0.30532858221919545,0.5350761544106166
plain_decoder,88,0,1,5.2000000000000004e-05,1.3089613998240417,0.7537491195104373,0.15526423400950906,0.16219401008513623,0.31538614957785116,1.1886185427416118,0.811477698240474,0.18049962411328305,0.09294181605719867,0.19394921090829328
plain_decoder,88,0,2,6.8e-05,1.1836173582727032,0.7844067135293847,0.19415667254122268,0.10682552340136088,0.1953067818395494,1.1283872677349343,0.7480964721954991,0.1864789633373164,0.10043877205602462,0.1866125327170711
plain_decoder,88,0,3,8.400000000000001e-05,1.1309480470029343,0.7273376128841055,0.19842551053299515,0.11513540952126908,0.1892622764274733,1.0865664667531396,0.7030048720671497,0.18809301521411234,0.10876931770801643,0.18074576402788387
plain_decoder,88,0,4,0.0001,1.0941676745169733,0.6940288831620148,0.20026972934692233,0.11940798598834161,0.18059594164628825,1.0589531995309729,0.6768432761168193,0.18942555791359628,0.11177326007991448,0.17562387522104517
plain_decoder,88,0,5,9.997293623837585e-05,1.0673066388473191,0.6756766249316007,0.19898783896028557,0.11832901628669097,0.17380707268009066,1.0395048419156543,0.6564741079760804,0.1914966617664921,0.11666691538420815,0.1706154932809143
plain_decoder,88,0,6,9.989177454732935e-05,1.053886754868623,0.6637249808134794,0.19687455986313618,0.12048205185117775,0.17124244960318574,1.025794182956985,0.6594779004649175,0.19452878767303886,0.10875447588261605,0.1602974151462403
plain_decoder,88,0,7,9.975660367597807e-05,1.044697882369947,0.6585570372138478,0.19571401967905652,0.11988265190256596,0.16840117974991317,1.0249297721709318,0.6535391845133531,0.18709737977166732,0.11302295854691399,0.16481894917851017
plain_decoder,88,0,8,9.956757143168527e-05,1.0370665544898559,0.6520199561319081,0.19481391502151701,0.12045066178167921,0.16718898486503558,1.012691091522049,0.6470805619302897,0.18536542046371707,0.11074337175665235,0.16218444965208087
plain_decoder,88,0,9,9.932488451843476e-05,1.0334088352750708,0.6503362207094384,0.19227458871523428,0.1206215846579169,0.16631373840168362,1.0165424899954065,0.6464323944592565,0.18474214114573229,0.11360764908301094,0.16413139143656616
plain_decoder,88,0,10,9.902880831080307e-05,1.0283197465787939,0.6447644775791295,0.19144986078731666,0.12173966793633141,0.1660906698884184,1.0122540278931171,0.6272605115424938,0.1806143484932414,0.12270218158648351,0.17198416315658813
